Origin Scope,Cross Images Services ,Site Location,HW Serial number,Image HostName,Image Type,CPU Resources,Memory Resources,Provisioned Storage [MB]
PH CMS,APPLICATION,ALF,DEH451561F,gbes03,Fisica,2,6144,0
PH CMS,Infrastructure,ALF,CZC7210W85,srv-lx-pr1,Fisica,2,3325,0
PH CMS,Infrastructure,ALF,0510AN00D7,bcver0,Fisica,2,8192,0
PH CMS,APPLICATION,ALF,0689042,bual,Virtual,1,1024,30720
PH CMS,APPLICATION,ALF,DEH451561E,gbes01,Fisica,2,6144,1490944
PH CMS,APPLICATION,NCI,99E0417,s-afovirtp-dr01,Virtual,2,2176,35885
PH CMS,Infrastructure,ALF,0689031,s-blf-dc01,Virtual,4,2048,69976
PH CMS,Infrastructure,ALF,0689041,s-fxsrvftp-01,Fisica,2,4096,204800
PH CMS,Infrastructure,ALF,8945CJP30208,s-ortpinp-s01,Fisica,4,0,10663
PH CMS,Infrastructure,ALF,CZJ72005400,srv-lx-pr3,Fisica,2,2045,0
IBM,Infrastructure,ALF,DEH480248R,sxignite,Fisica,2,4096,2168832
PH CMS,APPLICATION,NCI,0806NNN05R,edist-drp,Fisica,8,1024,0
PH CMS,APPLICATION,ALF,DEH451561H,dges01,Fisica,2,6144,216064
PH CMS,DATABASE,ALF,06T8068,s-csql07q-n01,Virtual,16,32768,1964065
PH CMS,APPLICATION,ALF,06D3963,s-sblwasq-s02,Virtual,1,2048,74770
PH CMS,APPLICATION,ALF,06D3963,s-sblwasq-s03,Virtual,1,2048,74770
IBM,Infrastructure,ALF,KDZRRTD,s-rtems-s01,Fisica,2,2048,0
PH CMS,APPLICATION,NCI,KDWYYZY,s-saprp-01,Fisica,2,4096,32742
IBM,Infrastructure,ALF,KDZRRRY,s-rtems-s02,Fisica,2,2048,0
PH CMS,APPLICATION,NCI,99C7996,s-sblrtdp-s02,Fisica,2,8192,139220
PH CMS,APPLICATION,NCI,99C8011,ssblsrvps01,Fisica,2,8192,139220
PH CMS,APPLICATION,NCI,99C7998,ssblsrvps02,Fisica,2,8192,139220
PH CMS,APPLICATION,NCI,99C8006,ssblsrvps03,Fisica,2,8192,139220
PH CMS,APPLICATION,NCI,99C8002,ssblsrvps04,Fisica,2,8192,139220
PH CMS,APPLICATION,NCI,99C8013,ssblsrvps05,Fisica,2,8192,139220
PH CMS,APPLICATION,ALF,0689031,ssblsrvs03,Virtual,1,3072,102413
PH CMS,DATABASE,ALF,06T8068,s-csql11q-n01,Virtual,8,16384,479208
IBM,Infrastructure,ALF,99A4686,s-tsmdmz-s02,Fisica,4,8192,153600
PH CMS,APPLICATION,ALF,0689042,schbes,Virtual,1,1024,76342
PH CMS,DATABASE,ALF,99A4690,s-csql08p-n01,Fisica,8,25600,3613696
PH CMS,DATABASE,ALF,99A4688,s-csql08p-n02,Fisica,16,25600,0
PH CMS,DATABASE,ALF,99D6445,s-csql11p-n01,Fisica,16,69632,80896
