HW Serial number;CPU Resources;Memory Resources;Provisioned Storage [MB];","
DEH451561F;2;6144;0;","
CZC7210W85;2;3325;0;","
0510AN00D7;2;8192;0;","
689042;1;1024;30720;","
DEH451561E;2;6144;1490944;","
99E0417;2;2176;35885;","
689031;4;2048;69976;","
689041;2;4096;204800;","
8945CJP30208;4;0;10663;","
CZJ72005400;2;2045;0;","
DEH480248R;2;4096;2168832;","
0806NNN05R;8;1024;0;","
DEH451561H;2;6144;216064;","
06T8068;16;32768;1964065;","
06D3963;1;2048;74770;","
06D3963;1;2048;74770;","
KDZRRTD;2;2048;0;","
KDWYYZY;2;4096;32742;","
KDZRRRY;2;2048;0;","
99C7996;2;8192;139220;","
99C8011;2;8192;139220;","
99C7998;2;8192;139220;","
99C8006;2;8192;139220;","
99C8002;2;8192;139220;","
99C8013;2;8192;139220;","
689031;1;3072;102413;","
06T8068;8;16384;479208;","
99A4686;4;8192;153600;","
689042;1;1024;76342;","
99A4690;8;25600;3613696;","
99A4688;16;25600;0;","
99D6445;16;69632;80896;","
99D6448;16;69632;0;","
PX60919018;8;16384;715776;","
PX60919019;4;32768;735232;","
BEL0922A4X;4;4096;0;","
BEL0922ABH;4;4096;0;","
BEL0922A9J;4;4096;0;","
0911ALE859;6;4096;0;","
0911ALE858;6;8192;0;","
99A4739;8;52224;2531328;","
689040;1;2048;73728;","
06D3963;1;2048;73728;","
0926ALF2C6;4;4096;0;","
0919BD028C;4;12288;0;","
0926ALF2A3;4;4096;0;","
0926ALF2A5;4;12288;0;","
PX60915168;4;4096;0;","
BEL0922A88;4;4096;0;","
0911ALE859;6;8192;0;","
0911ALE858;6;8192;0;","
0926ALF2A5;4;4096;0;","
99A5486;8;30720;279596;","
BEL0922A88;4;4096;0;","
06D3994;2;2048;30743;","
689031;2;2304;61554;","
689031;2;2048;47228;","
99E2201;8;52224;29588480;","
99E0612;8;52224;31589376;","
99E2122;8;52224;31777792;","
99E2109;8;52224;29870080;","
99A4784;8;17408;10338304;","
99E2125;2;17408;0;","
0725TL11B6;1;4096;0;","
0724TL40JW;1;2048;0;","
6582AFB;4;4096;0;","
6582AEB;4;4096;0;","
06D3963;2;4096;92160;","
KD55H2N;2;12288;139231;","
KD55B4W;2;8192;139231;","
646575;3;16384;102400;","
689038;2;20480;92160;","
689042;4;4096;174080;","
06D3994;4;4096;174080;","
06D3963;4;4096;174080;","
06M4100;4;4096;174080;","
06D3994;2;8192;92160;","
689042;2;8192;92160;","
CZ25390H5F;1;3072;51191;","
CZ25390H5J;1;3072;51191;","
KD68C32;2;8192;139233;","
KD68C55;2;8192;139233;","
689041;4;16384;266240;","
06M4100;4;16384;199680;","
99E0417;1;3072;112652;","
KD55H2B;2;8192;139233;","
KD55C2Z;2;8192;139231;","
99G5639;8;8192;0;","
99G4184;8;52224;2392064;","
99G4190;8;52224;0;","
KD28VGH;2;8192;139231;","
06X6492;12;12244;397285;","
06M4100;12;12244;397285;","
06T8148;16;131072;139237;","
06V0102;16;131072;139237;","
06M4091;8;65536;139237;","
06V0102;8;65536;139237;","
0806NNN059;1;8192;0;","
689032;8;34816;2392064;","
06XBZ97;2;8192;139231;","
689042;4;16384;256000;","
CZ25390H5C;1;1024;71925;","
06X6492;1;1024;30720;","
646576;1;3072;81920;","
99E0417;1;3072;81920;","
99C8001;2;8192;1158144;","
99C8022;2;8192;1158144;","
06D3961;1;4096;51200;","
689038;1;4096;112640;","
06DD1DP;4;8192;0;","
06DD1DP;4;8192;0;","
689038;4;8192;71680;","
KD55H2A;2;12288;0;","
06ZDFG4;4;8192;139982;","
06ZDFG4;4;8192;139982;","
689040;4;4096;471040;","
06D3961;4;4096;471040;","
99E0417;2;4096;942080;","
06D3994;2;8192;163840;","
06D3963;8;8192;102400;","
689040;4;8192;97280;","
99E0417;2;3072;61440;","
99E0417;2;3072;61440;","
06D3963;2;3072;35840;","
06BK231;2;3072;87040;","
689034;16;24576;1971200;","
06ZDFG5;2;4096;716800;","
99E0417;2;4096;102400;","
06D3994;4;16384;163840;","
689041;4;8192;122880;","
06ZDFG2;10;32768;2231296;","
689041;8;16384;102400;","
06ZDFG0;10;32768;1792000;","
06T8142;8;8192;256000;","
06T8142;8;8192;256000;","
06T8142;8;8192;256000;","
689027;8;8192;256000;","
06D3961;4;4096;168960;","
689040;4;4096;220160;","
646575;10;28672;2493440;","
99E0417;4;8192;266240;","
06X6492;8;16384;266240;","
06D3994;8;16384;163840;","
CZ3328JM6T;32;256;9715712;","
CZ32430J3N;2;16384;801792;","
CZ32430J3N;2;16384;3738624;","
CZ32430J3N;2;16384;1088512;","
CZ32430J3N;1;12288;610304;","
CZ32430J3N;2;32768;2791424;","
CZ32430J3N;1;15360;835584;","
;1;16384;481280;","
;2;16384;563200;","
;1;2048;860160;","
;1;12288;245760;","
;1;8192;378880;","
;2;8192;1019904;","
06ZDPZ6;8;36864;1101127;","
646575;4;8064;238417;","
06D3963;4;8192;102400;","
99C8210;16;8192;0;","
06ZDFG4;4;8148;139237;","
;1;3072;221184;","
;1;14336;2367488;","
;1;2048;5322752;","
;1;2048;102400;","
06X6492;8;2048;69976;","
CZJ450098Z;1;2048;81908;","
CZJ450098Z;1;2048;82936;","
CZJ4500995;1;3072;174065;","
CZJ4500995;1;3072;102390;","
CZJ4500995;1;3072;102390;","
CZJ4500995;1;3072;103418;","
CZJ450099C;12;55296;4696064;","
CZJ4500990;6;12288;1619968;","
06X6492;8;16384;3021826;","
CZJ4500996;8;20480;6922240;","
CZJ2390PR5;6;12288;1282053;","
CZJ2511H1J;2;4096;1782784;","
CZ34122RM2;4;8192;3211264;","
FCH213976C4;4;8192;3759104;","
CZJ2511H1R;4;8192;3655680;","
CZJ450099D;4;14336;2227200;","
CZ34122RLM;8;24576;2309120;","
CZJ4500997;4;18432;1751040;","
CZJ450098Z;2;4096;1352704;","
CZ34122RLP;4;8192;455680;","
06ZDFG3;8;8192;564187;","
CZ34122RM6;4;12288;7286784;","
CZ23510BG3;8;16384;728064;","
CZ3328JVJB;12;32768;3783680;","
CZJ2511H15;12;32768;3804160;","
CZJ2511H1Q;8;12288;1557509;","
CZJ2511H12;4;8192;3665920;","
CZ3325HKC5;2;6144;4843520;","
CZJ2511H1P;2;4096;4843520;","
CZ25390H5D;12;40960;7112704;","
CZ3328JVJF;4;16384;9763840;","
CZ3325HKC5;2;26624;8004615;","
CZ34122RLV;4;8192;7299072;","
FCH21377JS2;2;4096;266240;","
FCH213973ZK;2;4096;266240;","
FCH21377JS2;4;8192;404480;","
FCH21377JS2;2;2048;143360;","
FCH213973ZK;2;4096;66560;","
FCH21377JS2;1;1536;87040;","
FCH21377JS2;8;16384;393216;","
FCH21377JS2;8;36864;235520;","
FCH21377JS2;4;36864;296960;","
FCH21377JS2;6;24576;287744;","
FCH21377JS2;6;24576;287744;","
FCH213973ZK;2;4096;233472;","
FCH21377JS2;2;4096;122880;","
FCH21377JS2;4;8192;268288;","
FCH21377JS2;8;8192;335872;","
FCH21377JS2;1;4096;92160;","
FCH21377JS2;1;4096;143360;","
FCH21377JS2;2;8192;122880;","
FCH21377JS2;4;16384;225280;","
FCH213973ZK;2;6144;184320;","
FCH21377JS2;2;4096;163840;","
FCH213973ZK;2;4096;112640;","
FCH21377JS2;8;16384;81920;","
FCH21377JS2;2;4096;143360;","
FCH213973ZK;2;4096;143360;","
FCH21377JS2;6;8192;317440;","
FCH21377JS2;8;8192;317440;","
FCH21377JS2;4;8192;184320;","
FCH21377JS2;4;8192;184320;","
FCH21377JS2;4;8192;184320;","
CZ23510BG3;1;8192;70868;","
CZ3328JVHY;8;32768;71068;","
CZJ2511H0V;4;8192;131072;","
CZJ35106CC;1;2048;131072;","
CZJ2511H1K;2;4096;143360;","
CZ34122RM6;2;10240;152576;","
CZ34122RM8;2;32768;152576;","
CZ3325HKC1;1;32768;152576;","
CZ34122RME;2;32768;152576;","
CZ3328JVHT;1;32768;152576;","
CZ34122RLP;2;10240;153600;","
CZ3328JVJF;5;47104;153600;","
CZ3325HKC5;5;47104;159744;","
CZ34122RME;1;6144;174080;","
CZ3328JVJF;8;54272;179200;","
CZ3325HKC1;8;54272;179200;","
CZ3325HKC1;8;54272;179200;","
CZ34122RMP;10;40960;179200;","
CZ3325HKBW;10;40960;179200;","
CZ3328JVJF;8;54272;189440;","
CZ3328JVJF;3;36864;215040;","
CZ3328JVJ3;3;104448;217088;","
CZ34122RM6;2;4096;225280;","
CZ3325HKC5;4;40960;225280;","
CZJ35106CC;3;24576;225280;","
CZJ2511H1F;2;4096;225286;","
CZ3325HKC5;4;30720;241664;","
CZJ2511H1G;2;30720;241664;","
